name                                description
psinensis_inter_paralog_ensembl_peptide Chinese softshell turtle Ensembl Protein ID
psinensis_inter_paralog_chromosome  Chinese softshell turtle Chromosome Name
psinensis_inter_paralog_chrom_start Chinese softshell turtle Chromosome Start (bp)
psinensis_inter_paralog_chrom_end   Chinese softshell turtle Chromosome End (bp)
psinensis_inter_paralog_orthology_type Homology Type
psinensis_inter_paralog_subtype     Ancestor
psinensis_inter_paralog_perc_id     % Identity with respect to query gene
psinensis_inter_paralog_perc_id_r1  % Identity with respect to Chinese softshell turtle gene
psinensis_inter_paralog_dn          dN
psinensis_inter_paralog_ds          dS
cintestinalis_inter_paralog_ensembl_gene Ciona intestinalis Ensembl Gene ID
cintestinalis_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
cintestinalis_inter_paralog_ensembl_peptide Ciona intestinalis Ensembl Protein ID
cintestinalis_inter_paralog_chromosome Ciona intestinalis Chromosome Name
cintestinalis_inter_paralog_chrom_start Ciona intestinalis Chromosome Start (bp)
cintestinalis_inter_paralog_chrom_end Ciona intestinalis Chromosome End (bp)
cintestinalis_inter_paralog_orthology_type Homology Type
cintestinalis_inter_paralog_subtype Ancestor
cintestinalis_inter_paralog_perc_id % Identity with respect to query gene
cintestinalis_inter_paralog_perc_id_r1 % Identity with respect to Ciona intestinalis gene
cintestinalis_inter_paralog_dn      dN
cintestinalis_inter_paralog_ds      dS
csavignyi_inter_paralog_ensembl_gene Ciona savigngi Ensembl Gene ID
csavignyi_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
csavignyi_inter_paralog_ensembl_peptide Ciona savigngi Ensembl Protein ID
csavignyi_inter_paralog_chromosome  Ciona savigngi Chromosome Name
csavignyi_inter_paralog_chrom_start Ciona savigngi Chromosome Start (bp)
csavignyi_inter_paralog_chrom_end   Ciona savigngi Chromosome End (bp)
csavignyi_inter_paralog_orthology_type Homology Type
csavignyi_inter_paralog_subtype     Ancestor
csavignyi_inter_paralog_perc_id     % Identity with respect to query gene
csavignyi_inter_paralog_perc_id_r1  % Identity with respect to Ciona savigngi gene
csavignyi_inter_paralog_dn          dN
csavignyi_inter_paralog_ds          dS
lchalumnae_inter_paralog_ensembl_gene Coelacanth Ensembl Gene ID
lchalumnae_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
lchalumnae_inter_paralog_ensembl_peptide Coelacanth Ensembl Protein ID
lchalumnae_inter_paralog_chromosome Coelacanth Chromosome Name
lchalumnae_inter_paralog_chrom_start Coelacanth Chromosome Start (bp)
lchalumnae_inter_paralog_chrom_end  Coelacanth Chromosome End (bp)
lchalumnae_inter_paralog_orthology_type Homology Type
lchalumnae_inter_paralog_subtype    Ancestor
lchalumnae_inter_paralog_perc_id    % Identity with respect to query gene
lchalumnae_inter_paralog_perc_id_r1 % Identity with respect to Coelacanth gene
saraneus_inter_paralog_ensembl_gene Common Shrew Ensembl Gene ID
saraneus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
saraneus_inter_paralog_ensembl_peptide Common Shrew Ensembl Protein ID
saraneus_inter_paralog_chromosome   Common Shrew Chromosome Name
saraneus_inter_paralog_chrom_start  Common Shrew Chromosome Start (bp)
saraneus_inter_paralog_chrom_end    Common Shrew Chromosome End (bp)
saraneus_inter_paralog_orthology_type Homology Type
saraneus_inter_paralog_subtype      Ancestor
saraneus_inter_paralog_perc_id      % Identity with respect to query gene
saraneus_inter_paralog_perc_id_r1   % Identity with respect to Common Shrew gene
saraneus_inter_paralog_dn           dN
saraneus_inter_paralog_ds           dS
btaurus_inter_paralog_ensembl_gene  Cow Ensembl Gene ID
btaurus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
btaurus_inter_paralog_ensembl_peptide Cow Ensembl Protein ID
btaurus_inter_paralog_chromosome    Cow Chromosome Name
btaurus_inter_paralog_chrom_start   Cow Chromosome Start (bp)
btaurus_inter_paralog_chrom_end     Cow Chromosome End (bp)
btaurus_inter_paralog_orthology_type Homology Type
btaurus_inter_paralog_subtype       Ancestor
btaurus_inter_paralog_perc_id       % Identity with respect to query gene
btaurus_inter_paralog_perc_id_r1    % Identity with respect to Cow gene
btaurus_inter_paralog_dn            dN
btaurus_inter_paralog_ds            dS
cfamiliaris_inter_paralog_ensembl_gene Dog Ensembl Gene ID
cfamiliaris_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
cfamiliaris_inter_paralog_ensembl_peptide Dog Ensembl Protein ID
cfamiliaris_inter_paralog_chromosome Dog Chromosome Name
cfamiliaris_inter_paralog_chrom_start Dog Chromosome Start (bp)
cfamiliaris_inter_paralog_chrom_end Dog Chromosome End (bp)
cfamiliaris_inter_paralog_orthology_type Homology Type
cfamiliaris_inter_paralog_subtype   Ancestor
cfamiliaris_inter_paralog_perc_id   % Identity with respect to query gene
cfamiliaris_inter_paralog_perc_id_r1 % Identity with respect to Dog gene
cfamiliaris_inter_paralog_dn        dN
cfamiliaris_inter_paralog_ds        dS
ttruncatus_inter_paralog_ensembl_gene Dolphin Ensembl Gene ID
ttruncatus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ttruncatus_inter_paralog_ensembl_peptide Dolphin Ensembl Protein ID
ttruncatus_inter_paralog_chromosome Dolphin Chromosome Name
ttruncatus_inter_paralog_chrom_start Dolphin Chromosome Start (bp)
ttruncatus_inter_paralog_chrom_end  Dolphin Chromosome End (bp)
ttruncatus_inter_paralog_orthology_type Homology Type
ttruncatus_inter_paralog_subtype    Ancestor
ttruncatus_inter_paralog_perc_id    % Identity with respect to query gene
ttruncatus_inter_paralog_perc_id_r1 % Identity with respect to Dolphin gene
ttruncatus_inter_paralog_dn         dN
ttruncatus_inter_paralog_ds         dS
dmelanogaster_inter_paralog_ensembl_gene Drosophila Ensembl Gene ID
dmelanogaster_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
dmelanogaster_inter_paralog_ensembl_peptide Drosophila Ensembl Protein ID
dmelanogaster_inter_paralog_chromosome Drosophila Chromosome Name
dmelanogaster_inter_paralog_chrom_start Drosophila Chromosome Start (bp)
dmelanogaster_inter_paralog_chrom_end Drosophila Chromosome End (bp)
dmelanogaster_inter_paralog_orthology_type Homology Type
dmelanogaster_inter_paralog_subtype Ancestor
dmelanogaster_inter_paralog_perc_id % Identity with respect to query gene
dmelanogaster_inter_paralog_perc_id_r1 % Identity with respect to Drosophila gene
dmelanogaster_inter_paralog_dn      dN
dmelanogaster_inter_paralog_ds      dS
aplatyrhynchos_inter_paralog_ensembl_gene Duck Ensembl Gene ID
aplatyrhynchos_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
aplatyrhynchos_inter_paralog_ensembl_peptide Duck Ensembl Protein ID
aplatyrhynchos_inter_paralog_chromosome Duck Chromosome Name
aplatyrhynchos_inter_paralog_chrom_start Duck Chromosome Start (bp)
aplatyrhynchos_inter_paralog_chrom_end Duck Chromosome End (bp)
aplatyrhynchos_inter_paralog_orthology_type Homology Type
aplatyrhynchos_inter_paralog_subtype Ancestor
aplatyrhynchos_inter_paralog_perc_id % Identity with respect to query gene
aplatyrhynchos_inter_paralog_perc_id_r1 % Identity with respect to Duck gene
aplatyrhynchos_inter_paralog_dn     dN
aplatyrhynchos_inter_paralog_ds     dS
lafricana_inter_paralog_ensembl_gene Elephant Ensembl Gene ID
lafricana_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
lafricana_inter_paralog_ensembl_peptide Elephant Ensembl Protein ID
lafricana_inter_paralog_chromosome  Elephant Chromosome Name
lafricana_inter_paralog_chrom_start Elephant Chromosome Start (bp)
lafricana_inter_paralog_chrom_end   Elephant Chromosome End (bp)
lafricana_inter_paralog_orthology_type Homology Type
lafricana_inter_paralog_subtype     Ancestor
lafricana_inter_paralog_perc_id     % Identity with respect to query gene
lafricana_inter_paralog_perc_id_r1  % Identity with respect to Elephant gene
lafricana_inter_paralog_dn          dN
lafricana_inter_paralog_ds          dS
mfuro_inter_paralog_ensembl_gene    Ferret Ensembl Gene ID
mfuro_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mfuro_inter_paralog_ensembl_peptide Ferret Ensembl Protein ID
mfuro_inter_paralog_chromosome      Ferret Chromosome Name
mfuro_inter_paralog_chrom_start     Ferret Chromosome Start (bp)
mfuro_inter_paralog_chrom_end       Ferret Chromosome End (bp)
mfuro_inter_paralog_orthology_type  Homology Type
mfuro_inter_paralog_subtype         Ancestor
mfuro_inter_paralog_perc_id         % Identity with respect to query gene
mfuro_inter_paralog_perc_id_r1      % Identity with respect to Ferret gene
mfuro_inter_paralog_dn              dN
mfuro_inter_paralog_ds              dS
falbicollis_inter_paralog_ensembl_gene Flycatcher Ensembl Gene ID
falbicollis_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
falbicollis_inter_paralog_ensembl_peptide Flycatcher Ensembl Protein ID
falbicollis_inter_paralog_chromosome Flycatcher Chromosome Name
falbicollis_inter_paralog_chrom_start Flycatcher Chromosome Start (bp)
falbicollis_inter_paralog_chrom_end Flycatcher Chromosome End (bp)
falbicollis_inter_paralog_orthology_type Homology Type
falbicollis_inter_paralog_subtype   Ancestor
falbicollis_inter_paralog_perc_id   % Identity with respect to query gene
falbicollis_inter_paralog_perc_id_r1 % Identity with respect to Flycatcher gene
falbicollis_inter_paralog_dn        dN
falbicollis_inter_paralog_ds        dS
trubripes_inter_paralog_ensembl_gene Fugu Ensembl Gene ID
trubripes_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
trubripes_inter_paralog_ensembl_peptide Fugu Ensembl Protein ID
trubripes_inter_paralog_chromosome  Fugu Chromosome Name
trubripes_inter_paralog_chrom_start Fugu Chromosome Start (bp)
trubripes_inter_paralog_chrom_end   Fugu Chromosome End (bp)
trubripes_inter_paralog_orthology_type Homology Type
trubripes_inter_paralog_subtype     Ancestor
trubripes_inter_paralog_perc_id     % Identity with respect to query gene
trubripes_inter_paralog_perc_id_r1  % Identity with respect to Fugu gene
trubripes_inter_paralog_dn          dN
trubripes_inter_paralog_ds          dS
nleucogenys_inter_paralog_chrom_start Gibbon Chromosome Start (bp)
nleucogenys_inter_paralog_ensembl_gene Gibbon Ensembl Gene ID
nleucogenys_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
nleucogenys_inter_paralog_ensembl_peptide Gibbon Ensembl Protein ID
nleucogenys_inter_paralog_chromosome Gibbon Chromosome Name
nleucogenys_inter_paralog_chrom_end Gibbon Chromosome End (bp)
nleucogenys_inter_paralog_orthology_type Homology Type
nleucogenys_inter_paralog_subtype   Ancestor
nleucogenys_inter_paralog_perc_id   % Identity with respect to query gene
nleucogenys_inter_paralog_perc_id_r1 % Identity with respect to Gibbon gene
nleucogenys_inter_paralog_dn        dN
nleucogenys_inter_paralog_ds        dS
ggorilla_inter_paralog_ensembl_gene Gorilla Ensembl Gene ID
ggorilla_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ggorilla_inter_paralog_ensembl_peptide Gorilla Ensembl Protein ID
ggorilla_inter_paralog_chromosome   Gorilla Chromosome name
ggorilla_inter_paralog_chrom_start  Gorilla Chromosome Start (bp)
ggorilla_inter_paralog_chrom_end    Gorilla Chromosome End (bp)
ggorilla_inter_paralog_orthology_type Homology Type
ggorilla_inter_paralog_subtype      Ancestor
ggorilla_inter_paralog_perc_id      % Identity with respect to query gene
ggorilla_inter_paralog_perc_id_r1   % Identity with respect to Gorilla gene
ggorilla_inter_paralog_dn           dN
ggorilla_inter_paralog_ds           dS
cporcellus_inter_paralog_ensembl_gene Guinea Pig Ensembl Gene ID
cporcellus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
cporcellus_inter_paralog_ensembl_peptide Guinea Pig Ensembl Protein ID
cporcellus_inter_paralog_chromosome Guinea Pig Chromosome Name
cporcellus_inter_paralog_chrom_start Guinea Pig Chromosome Start (bp)
cporcellus_inter_paralog_chrom_end  Guinea Pig Chromosome End (bp)
cporcellus_inter_paralog_orthology_type Homology Type
cporcellus_inter_paralog_subtype    Ancestor
cporcellus_inter_paralog_perc_id    % Identity with respect to query gene
cporcellus_inter_paralog_perc_id_r1 % Identity with respect to Guinea Pig gene
cporcellus_inter_paralog_dn         dN
cporcellus_inter_paralog_ds         dS
eeuropaeus_inter_paralog_ensembl_gene Hedgehog Ensembl Gene ID
eeuropaeus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
eeuropaeus_inter_paralog_ensembl_peptide Hedgehog Ensembl Protein ID
eeuropaeus_inter_paralog_chromosome Hedgehog Chromosome Name
eeuropaeus_inter_paralog_chrom_start Hedgehog Chromosome Start (bp)
eeuropaeus_inter_paralog_chrom_end  Hedgehog Chromosome End (bp)
eeuropaeus_inter_paralog_orthology_type Homology Type
eeuropaeus_inter_paralog_subtype    Ancestor
eeuropaeus_inter_paralog_perc_id    % Identity with respect to query gene
eeuropaeus_inter_paralog_perc_id_r1 % Identity with respect to Hedgehog gene
eeuropaeus_inter_paralog_dn         dN
eeuropaeus_inter_paralog_ds         dS
ecaballus_inter_paralog_ensembl_gene Horse Ensembl Gene ID
ecaballus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ecaballus_inter_paralog_ensembl_peptide Horse Ensembl Protein ID
ecaballus_inter_paralog_chromosome  Horse Chromosome Name
ecaballus_inter_paralog_chrom_start Horse Chromosome Start (bp)
ecaballus_inter_paralog_chrom_end   Horse Chromosome End (bp)
ecaballus_inter_paralog_orthology_type Homology Type
ecaballus_inter_paralog_subtype     Ancestor
ecaballus_inter_paralog_perc_id     % Identity with respect to query gene
ecaballus_inter_paralog_perc_id_r1  % Identity with respect to Horse gene
ecaballus_inter_paralog_dn          dN
ecaballus_inter_paralog_ds          dS
dordii_inter_paralog_ensembl_gene   Kangaroo Rat Ensembl Gene ID
dordii_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
dordii_inter_paralog_ensembl_peptide Kangaroo Rat Ensembl Protein ID
dordii_inter_paralog_chromosome     Kangaroo Rat Chromosome Name
dordii_inter_paralog_chrom_start    Kangaroo Rat Chromosome Start (bp)
dordii_inter_paralog_chrom_end      Kangaroo Rat Chromosome End (bp)
dordii_inter_paralog_orthology_type Homology Type
dordii_inter_paralog_subtype        Ancestor
dordii_inter_paralog_perc_id        % Identity with respect to query gene
dordii_inter_paralog_perc_id_r1     % Identity with respect to Kangaroo Rat gene
dordii_inter_paralog_dn             dN
dordii_inter_paralog_ds             dS
pmarinus_inter_paralog_gene_ensembl Lamprey Ensembl Gene ID
pmarinus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
pmarinus_inter_paralog_ensembl_peptide Turkey Ensembl Protein ID
pmarinus_inter_paralog_chromosome   Lamprey Chromosome Name
pmarinus_inter_paralog_chrom_start  Lamprey Chromosome start (bp)
pmarinus_inter_paralog_chrom_end    Lamprey Chromosome end (bp)
pmarinus_inter_paralog_orthology_type Homology type
pmarinus_inter_paralog_subtype      Ancestor
pmarinus_inter_paralog_perc_id      % Identity with respect to query gene
pmarinus_inter_paralog_perc_id_r1   % Identity with respect to Lamprey gene
etelfairi_inter_paralog_ensembl_gene Lesser hedgehog tenrec Ensembl Gene ID
etelfairi_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
etelfairi_inter_paralog_ensembl_peptide Tenrec Ensembl Protein ID
etelfairi_inter_paralog_chromosome  Lesser hedgehog tenrec Chromosome Name
etelfairi_inter_paralog_chrom_start Lesser hedgehog tenrec Chromosome Start (bp)
etelfairi_inter_paralog_chrom_end   Lesser hedgehog tenrec Chromosome End (bp)
etelfairi_inter_paralog_orthology_type Homology Type
etelfairi_inter_paralog_subtype     Ancestor
etelfairi_inter_paralog_perc_id     % Identity with respect to query gene
etelfairi_inter_paralog_perc_id_r1  % Identity with respect to Lesser hedgehog tenrec gene
etelfairi_inter_paralog_dn          dN
etelfairi_inter_paralog_ds          dS
mmulatta_inter_paralog_ensembl_gene Macaque Ensembl Gene ID
mmulatta_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mmulatta_inter_paralog_ensembl_peptide Macaque Ensembl Protein ID
mmulatta_inter_paralog_chromosome   Macaque Chromosome Name
mmulatta_inter_paralog_chrom_start  Macaque Chromosome Start (bp)
mmulatta_inter_paralog_chrom_end    Macaque Chromosome End (bp)
mmulatta_inter_paralog_orthology_type Homology Type
mmulatta_inter_paralog_subtype      Ancestor
mmulatta_inter_paralog_perc_id      % Identity with respect to query gene
mmulatta_inter_paralog_perc_id_r1   % Identity with respect to Macaque gene
mmulatta_inter_paralog_dn           dN
mmulatta_inter_paralog_ds           dS
cjacchus_inter_paralog_ensembl_gene Marmoset Ensembl Gene ID
cjacchus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
cjacchus_inter_paralog_ensembl_peptide Marmoset Ensembl Protein ID
cjacchus_inter_paralog_chromosome   Marmoset Chromosome Name
cjacchus_inter_paralog_chrom_start  Marmoset Chromosome Start (bp)
cjacchus_inter_paralog_chrom_end    Marmoset Chromosome End (bp)
cjacchus_inter_paralog_orthology_type Homology Type
cjacchus_inter_paralog_subtype      Ancestor
cjacchus_inter_paralog_perc_id      % Identity with respect to query gene
cjacchus_inter_paralog_perc_id_r1   % Identity with respect to Marmoset gene
cjacchus_inter_paralog_dn           dN
cjacchus_inter_paralog_ds           dS
olatipes_inter_paralog_ensembl_gene Medaka Ensembl Gene ID
olatipes_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
olatipes_inter_paralog_ensembl_peptide Medaka Ensembl Protein ID
olatipes_inter_paralog_chromosome   Medaka Chromosome Name
olatipes_inter_paralog_chrom_start  Medaka Chromosome Start (bp)
olatipes_inter_paralog_chrom_end    Medaka Chromosome End (bp)
olatipes_inter_paralog_orthology_type Homology Type
olatipes_inter_paralog_subtype      Ancestor
olatipes_inter_paralog_perc_id      % Identity with respect to query gene
olatipes_inter_paralog_perc_id_r1   % Identity with respect to Medaka gene
olatipes_inter_paralog_dn           dN
olatipes_inter_paralog_ds           dS
pvampyrus_inter_paralog_ensembl_gene Megabat Ensembl Gene ID
pvampyrus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
pvampyrus_inter_paralog_ensembl_peptide Megabat Ensembl Protein ID
pvampyrus_inter_paralog_chromosome  Megabat Chromosome Name
pvampyrus_inter_paralog_chrom_start Megabat Chromosome Start (bp)
pvampyrus_inter_paralog_chrom_end   Megabat Chromosome End (bp)
pvampyrus_inter_paralog_orthology_type Homology Type
pvampyrus_inter_paralog_subtype     Ancestor
pvampyrus_inter_paralog_perc_id     % Identity with respect to query gene
pvampyrus_inter_paralog_perc_id_r1  % Identity with respect to Megabat gene
pvampyrus_inter_paralog_dn          dN
pvampyrus_inter_paralog_ds          dS
mlucifugus_inter_paralog_ensembl_gene Microbat Ensembl Gene ID
mlucifugus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mlucifugus_inter_paralog_ensembl_peptide Microbat Ensembl Protein ID
mlucifugus_inter_paralog_chromosome Microbat Chromosome Name
mlucifugus_inter_paralog_chrom_start Microbat Chromosome Start (bp)
mlucifugus_inter_paralog_chrom_end  Microbat Chromosome End (bp)
mlucifugus_inter_paralog_orthology_type Homology Type
mlucifugus_inter_paralog_subtype    Ancestor
mlucifugus_inter_paralog_perc_id    % Identity with respect to query gene
mlucifugus_inter_paralog_perc_id_r1 % Identity with respect to Microbat gene
mlucifugus_inter_paralog_dn         dN
mlucifugus_inter_paralog_ds         dS
mmusculus_inter_paralog_ensembl_gene Mouse Ensembl Gene ID
mmusculus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mmusculus_inter_paralog_ensembl_peptide Mouse Ensembl Protein ID
mmusculus_inter_paralog_chromosome  Mouse Chromosome Name
mmusculus_inter_paralog_chrom_start Mouse Chromosome Start (bp)
mmusculus_inter_paralog_chrom_end   Mouse Chromosome End (bp)
mmusculus_inter_paralog_orthology_type Homology Type
mmusculus_inter_paralog_subtype     Ancestor
mmusculus_inter_paralog_perc_id     % Identity with respect to query gene
mmusculus_inter_paralog_perc_id_r1  % Identity with respect to Mouse gene
mmusculus_inter_paralog_dn          dN
mmusculus_inter_paralog_ds          dS
mmurinus_inter_paralog_ensembl_gene Mouse Lemur Ensembl Gene ID
mmurinus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mmurinus_inter_paralog_ensembl_peptide Mouse Lemur Ensembl Protein ID
mmurinus_inter_paralog_chromosome   Mouse Lemur Chromosome Name
mmurinus_inter_paralog_chrom_start  Mouse Lemur Chromosome Start (bp)
mmurinus_inter_paralog_chrom_end    Mouse Lemur Chromosome End (bp)
mmurinus_inter_paralog_orthology_type Homology Type
mmurinus_inter_paralog_subtype      Ancestor
mmurinus_inter_paralog_perc_id      % Identity with respect to query gene
mmurinus_inter_paralog_perc_id_r1   % Identity with respect to Mouse Lemur gene
mmurinus_inter_paralog_dn           dN
mmurinus_inter_paralog_ds           dS
oniloticus_inter_paralog_ensembl_gene Nile tilapia Ensembl Gene ID
oniloticus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
oniloticus_inter_paralog_ensembl_peptide Nile tilapia Ensembl Protein ID
oniloticus_inter_paralog_chromosome Nile tilapia Chromosome Name
oniloticus_inter_paralog_chrom_start Nile tilapia Chromosome Start (bp)
oniloticus_inter_paralog_chrom_end  Nile tilapia Chromosome End (bp)
oniloticus_inter_paralog_orthology_type Homology Type
oniloticus_inter_paralog_subtype    Ancestor
oniloticus_inter_paralog_perc_id    % Identity with respect to query gene
oniloticus_inter_paralog_perc_id_r1 % Identity with respect to Nile tilapia gene
mdomestica_inter_paralog_ensembl_gene Opossum Ensembl Gene ID
mdomestica_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
mdomestica_inter_paralog_ensembl_peptide Opossum Ensembl Protein ID
mdomestica_inter_paralog_chromosome Opossum Chromosome Name
mdomestica_inter_paralog_chrom_start Opossum Chromosome Start (bp)
mdomestica_inter_paralog_chrom_end  Opossum Chromosome End (bp)
mdomestica_inter_paralog_orthology_type Homology Type
mdomestica_inter_paralog_subtype    Ancestor
mdomestica_inter_paralog_perc_id    % Identity with respect to query gene
mdomestica_inter_paralog_perc_id_r1 % Identity with respect to Opossum gene
mdomestica_inter_paralog_dn         dN
mdomestica_inter_paralog_ds         dS
pabelii_inter_paralog_ensembl_gene  Orangutan Ensembl Gene ID
pabelii_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
pabelii_inter_paralog_ensembl_peptide Orangutan Ensembl Protein ID
pabelii_inter_paralog_chromosome    Orangutan Chromosome Name
pabelii_inter_paralog_chrom_start   Orangutan Chromosome Start (bp)
pabelii_inter_paralog_chrom_end     Orangutan Chromosome End (bp)
pabelii_inter_paralog_orthology_type Homology Type
pabelii_inter_paralog_subtype       Ancestor
pabelii_inter_paralog_perc_id       % Identity with respect to query gene
pabelii_inter_paralog_perc_id_r1    % Identity with respect to Orangutan gene
pabelii_inter_paralog_dn            dN
pabelii_inter_paralog_ds            dS
amelanoleuca_inter_paralog_ensembl_gene Panda Ensembl Gene ID
amelanoleuca_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
amelanoleuca_inter_paralog_ensembl_peptide Panda Ensembl Protein ID
amelanoleuca_inter_paralog_chromosome Panda Chromosome Name
amelanoleuca_inter_paralog_chrom_start Panda Chromosome Start (bp)
amelanoleuca_inter_paralog_chrom_end Panda Chromosome End (bp)
amelanoleuca_inter_paralog_orthology_type Homology Type
amelanoleuca_inter_paralog_subtype  Ancestor
amelanoleuca_inter_paralog_perc_id  % Identity with respect to query gene
amelanoleuca_inter_paralog_perc_id_r1 % Identity with respect to Panda gene
amelanoleuca_inter_paralog_dn       dN
amelanoleuca_inter_paralog_ds       dS
sscrofa_inter_paralog_ensembl_gene  Pig Ensembl Gene ID
sscrofa_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
sscrofa_inter_paralog_ensembl_peptide Pig Ensembl Protein ID
sscrofa_inter_paralog_chromosome    Pig Chromosome Name
sscrofa_inter_paralog_chrom_start   Pig Chromosome Start (bp)
sscrofa_inter_paralog_chrom_end     Pig Chromosome End (bp)
sscrofa_inter_paralog_orthology_type Homology Type
sscrofa_inter_paralog_subtype       Ancestor
sscrofa_inter_paralog_perc_id       % Identity with respect to query gene
sscrofa_inter_paralog_perc_id_r1    % Identity with respect to Pig gene
sscrofa_inter_paralog_dn            dN
sscrofa_inter_paralog_ds            dS
oprinceps_inter_paralog_ensembl_gene Pika Ensembl Gene ID
oprinceps_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
oprinceps_inter_paralog_ensembl_peptide Pika Ensembl Protein ID
oprinceps_inter_paralog_chromosome  Pika Chromosome Name
oprinceps_inter_paralog_chrom_start Pika Chromosome Start (bp)
oprinceps_inter_paralog_chrom_end   Pika Chromosome End (bp)
oprinceps_inter_paralog_orthology_type Homology Type
oprinceps_inter_paralog_subtype     Ancestor
oprinceps_inter_paralog_perc_id     % Identity with respect to query gene
oprinceps_inter_paralog_perc_id_r1  % Identity with respect to Pika gene
oprinceps_inter_paralog_dn          dN
oprinceps_inter_paralog_ds          dS
xmaculatus_inter_paralog_ensembl_gene Platyfish Ensembl Gene ID
xmaculatus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
xmaculatus_inter_paralog_ensembl_peptide Platyfish Ensembl Protein ID
xmaculatus_inter_paralog_chromosome Platyfish Chromosome Name
xmaculatus_inter_paralog_chrom_start Platyfish Chromosome Start (bp)
xmaculatus_inter_paralog_chrom_end  Platyfish Chromosome End (bp)
xmaculatus_inter_paralog_orthology_type Homology Type
xmaculatus_inter_paralog_subtype    Ancestor
xmaculatus_inter_paralog_perc_id    % Identity with respect to query gene
xmaculatus_inter_paralog_perc_id_r1 % Identity with respect to Platyfish gene
oanatinus_inter_paralog_ensembl_gene Platypus Ensembl Gene ID
oanatinus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
oanatinus_inter_paralog_ensembl_peptide Platypus Ensembl Protein ID
oanatinus_inter_paralog_chromosome  Platypus Chromosome Name
oanatinus_inter_paralog_chrom_start Platypus Chromosome Start (bp)
oanatinus_inter_paralog_chrom_end   Platypus Chromosome End (bp)
oanatinus_inter_paralog_orthology_type Homology Type
oanatinus_inter_paralog_subtype     Ancestor
oanatinus_inter_paralog_perc_id     % Identity with respect to query gene
oanatinus_inter_paralog_perc_id_r1  % Identity with respect to Platypus gene
oanatinus_inter_paralog_dn          dN
oanatinus_inter_paralog_ds          dS
ocuniculus_inter_paralog_ensembl_gene Rabbit Ensembl Gene ID
ocuniculus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
ocuniculus_inter_paralog_ensembl_peptide Rabbit Ensembl Protein ID
ocuniculus_inter_paralog_chromosome Rabbit Chromosome Name
ocuniculus_inter_paralog_chrom_start Rabbit Chromosome Start (bp)
ocuniculus_inter_paralog_chrom_end  Rabbit Chromosome End (bp)
ocuniculus_inter_paralog_orthology_type Homology Type
ocuniculus_inter_paralog_subtype    Ancestor
ocuniculus_inter_paralog_perc_id    % Identity with respect to query gene
ocuniculus_inter_paralog_perc_id_r1 % Identity with respect to Rabbit gene
ocuniculus_inter_paralog_dn         dN
ocuniculus_inter_paralog_ds         dS
rnorvegicus_inter_paralog_ensembl_gene Rat Ensembl Gene ID
rnorvegicus_inter_paralog_canonical_transcript_protein Canonical Protein or Transcript ID
rnorvegicus_inter_paralog_ensembl_peptide Rat Ensembl Protein ID
rnorvegicus_inter_paralog_chromosome Rat Chromosome Name
rnorvegicus_inter_paralog_chrom_start Rat Chromosome Start (bp)
rnorvegicus_inter_paralog_chrom_end Rat Chromosome End (bp)
